,Rent,House ID,Square meters house,Number of Bedrooms,Location,Description,rent_per_sqrmeter
0,450,2110520439,45,1,Kato Ilisia (Athens), 24/12/2020 -  ,10
1,450,2110511404,72,1,Exarcheia (Athens), 24/12/2020 -  ,6.25
2,430,2110532949,48,1,Ampelokipoi (Athens), 24/12/2020 -  ,8.958333333
3,590,2110489898,67,2,Panormou (Athens), 24/12/2020 -  ,8.805970149
4,680,2110495901,75,2,Koukaki - Pediki Chara (Koukaki - Makrygianni), 24/12/2020 -  ,9.066666667
5,450,2110533329,44,0,Ampelokipoi (Athens), 24/12/2020 -  ,10.22727273
6,540,2110495726,74,2,Profitis Ilias (Athens), 24/12/2020 -  ,7.297297297
7,550,2110570220,49,1,Pagkrati Center (Athens), 24/12/2020 -  ,11.2244898
8,480,2110570172,56,1,Alsos Pagkratiou (Athens), 24/12/2020 -  ,8.571428571
9,430,2110570405,55,1,Panormou (Athens), 24/12/2020 -  ,7.818181818
10,450,2110520439,45,1,Kato Ilisia (Athens), 24/12/2020 -  ,10
11,450,2110511404,72,1,Exarcheia (Athens), 24/12/2020 -  ,6.25
12,430,2110532949,48,1,Ampelokipoi (Athens), 24/12/2020 -  ,8.958333333
13,590,2110489898,67,2,Panormou (Athens), 24/12/2020 -  ,8.805970149
14,680,2110495901,75,2,Koukaki - Pediki Chara (Koukaki - Makrygianni), 24/12/2020 -  ,9.066666667
15,450,2110533329,44,0,Ampelokipoi (Athens), 24/12/2020 -  ,10.22727273
16,540,2110495726,74,2,Profitis Ilias (Athens), 24/12/2020 -  ,7.297297297
17,550,2110570220,49,1,Pagkrati Center (Athens), 24/12/2020 -  ,11.2244898
18,480,2110570172,56,1,Alsos Pagkratiou (Athens), 24/12/2020 -  ,8.571428571
19,430,2110570405,55,1,Panormou (Athens), 24/12/2020 -  ,7.818181818
20,340,2110570006,25,1,Alsos Pagkratiou (Athens), 24/12/2020 -  ,13.6
21,560,2110528474,50,1,Ampelokipoi (Athens), 24/12/2020 -  ,11.2
22,350,2110525032,30,1,Platia Kipselis (Athens), 24/12/2020 -  ,11.66666667
23,450,2110569953,55,1,Pagkrati Center (Athens), 24/12/2020 -  ,8.181818182
24,590,2110570853,100,2,Agios Ioannis (Athens), 24/12/2020 -  ,5.9
25,580,2110562696,100,2,Labrini (Athens), 24/12/2020 -  ,5.8
26,900,2110380760,95,2,Plateia Mavili (Athens)," 24/12/2020 - For Rent Froor apartment, Athens, Plateia Mavili, 95 sq.m., 1 Levels, 5th Floor, 2 Bedrooms 1 Bathrooms, 1 Κitchen/s, Floors: Wooden floors, Dours: ...                        ",9.473684211
27,2000,2110390435,120,3,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - For Rent Froor apartment, Athens, Kolonaki, 120 sq.m., 1 Levels, 2nd Floor, 3 Bedrooms 1 Bathrooms, 1 WC, 1 Κitchen/s, Floors: Wooden floors, Dours ...                        ",16.66666667
28,1000,2110271043,65,1,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - For Rent Apartment, Athens, Kolonaki, 65 sq.m., 1 Levels, 2nd Floor, 1 Bedrooms 1 Bathrooms, 1 Κitchen/s, Dours: Aluminum, Building Year: 1990, Sta ...                        ",15.38461538
29,750,2110531735,75,2,Makrigianni (Koukaki - Makrygianni)," 24/12/2020 - For Rent Apartment, Athens, Makrygianni, 75 sq.m., 3rd Floor, 3 Rooms, 2 Bedrooms 1 Bathrooms, 1 Κitchen/s, Dours: Aluminum, Building Year: 1963, S ...                        ",10
30,450,2110403182,55,1,Kallimarmaro (Athens), 24/12/2020 -  ,8.181818182
31,500,2110473270,72,2,Center (Athens), 24/12/2020 -  ,6.944444444
32,550,2110517534,57,2,Varnava (Athens), 24/12/2020 -  ,9.649122807
33,1550,218811022,110,2,Hilton (Athens), 24/12/2020 - The above price is valid only in the event of prepayment. Multiple payment options also available.                        ,14.09090909
34,1650,217454787,150,3,Plateia Mavili (Athens)," 24/12/2020 - Platia Mavili, Makedonon str., 150sq.m. 2nd floor newly built furnished apartment. Featuring a cozy living room, an open plan fully  equipped kitch ...                        ",11
35,940,2110406997,100,2,Historic Center (Athens), 24/12/2020 - The above price is valid only in the event of prepayment. Multiple payment options available.                        ,9.4
36,650,2110496103,70,2,Pagkrati (Athens), 24/12/2020 - The above price is valid only in the event of prepayment. Multiple payment options also available.                        ,9.285714286
37,700,218144604,80,2,Mets - Kalimarmaro (Athens)," 24/12/2020 - Athens, Kallimarmaro, Ellanikou str., 80 sq.m. furnished apartment on the 1st floor. Featuring a cozy living room, an open plan fully equipped kitc ...                        ",8.75
38,1070,217508202,90,2,Historic Center (Athens)," 24/12/2020 - Athens, Historic Center, Genneou Kolokotroni str.,  90sq.m. newly built furnished apartment on the 2nd floor.  Featuring  a cozy living room, a ful ...                        ",11.88888889
39,1070,217355932,75,2,Ampelokipoi - Pentagon (Athens), 24/12/2020 - The above mentioned price is valid only in the event of prepayment. Multiple payment options also available.                        ,14.26666667
40,1580,2110543117,121,3,Kallimarmaro (Athens), 24/12/2020 - The above price is valid only in the event of prepayment. Multiple payment options also available.                        ,13.05785124
41,600,2110363400,50,1,Ampelokipoi (Athens), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 600 € /month     6 to 12 month lease: 650 € /month   2 to 6 month lease: 700 € /month     1 ...                        ,12
42,500,2110567813,26,0,Kolonaki (Kolonaki - Lykavittos), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 500 € /month     6 to 12 month lease: 550 € /month   2 to 6 month lease: 670 € /month     1 ...                        ,19.23076923
43,2200,2110310297,146,3,Plaka (Athens)," 24/12/2020 - ATHENS PLAKA, Detached House 146 sq.m., 3 levels, ground floor, semi floor, luxurious, at residential area, year of construction 1950, renovated, w ...                        ",15.06849315
44,1500,2110224187,140,3,Mets (Athens)," 24/12/2020 - ATHENS METS, Apartment 140 sq.m., furnished, 6th floor, luxurious, at residential area, year of construction 2009, perfect, with view unobstructed, ...                        ",10.71428571
45,700,2110276361,44,1,Kolonaki (Kolonaki - Lykavittos), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 700 € /month     6 to 12 month lease: 750 € /month   2 to 6 month lease: 800 € /month     1 ...                        ,15.90909091
46,880,2110550109,60,1,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 880 € /month     6 to 12 month lease: 930 € /month   2 to 6 month lease: 1,080 € /month     ...                        ",14.66666667
